Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,10,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Missed_Recycle,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,5,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,7,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,2,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,7,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,3
Scenario1,2,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,7
Scenario1,3,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,5
Scenario1,4,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,4
Scenario1,5,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,5
Scenario1,6,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,6
Scenario1,7,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,8
Scenario1,8,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,5
Scenario1,9,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,5
Scenario1,10,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Observations,12
Scenario1,1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Missed_Refuse,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,5,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,7,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,2,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,7,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,12
Scenario1,2,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,26
Scenario1,3,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,16
Scenario1,4,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,20
Scenario1,5,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,20
Scenario1,6,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,27
Scenario1,7,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,21
Scenario1,8,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,14
